date,1 (low bm),2,3,4,5,6,7,8,9,10 (high bm)
19960229,0.065196,0.022848,0.022794,0.049304,0.010891,-0.001974,0.026392,-0.01515,0.051289,0.14374
19960331,-0.025291,-0.056497,0.021872,0.036599,0.021719,0.024959,-0.016206,0.04362,0.022636,0.002556
19960430,0.070641,0.041014,0.134075,0.133659,0.087156,0.03918,0.076901,0.088676,0.065397,0.045713
19960531,0.029122,-0.002781,-0.042878,-0.001747,0.032362,0.019958,0.046277,0.028954,0.033437,0.041944
19960630,-0.032359,-0.028794,-0.03848,0.004032,0.031749,0.057587,0.035512,0.060526,0.030239,-0.005652
19960731,0.001886,0.034193,-0.024052,-0.016921,-0.104258,-0.006443,-0.035132,-0.039111,-0.00518,0.013412
19960831,0.068175,0.063976,0.020296,0.016018,0.062771,0.021423,-0.034378,-0.011003,0.007971,0.012442
19960930,-0.019833,9e-06,0.050344,0.072787,0.024381,-0.01068,0.023729,0.028811,-0.009245,0.01085
19961031,0.096917,0.043957,0.078205,0.060102,0.00828,0.010194,0.017331,0.001994,0.005464,0.02392
19961130,0.139739,0.104988,0.061087,0.016237,0.086432,0.083051,0.134765,0.09571,0.072943,0.102262
19961231,0.019449,-0.004083,0.009302,0.03563,0.062119,0.085319,0.044903,0.088118,0.071784,0.015771
19970131,0.216036,0.242004,0.160714,0.117355,0.071718,0.10479,0.123847,0.026658,0.131901,-0.010241
19970228,0.010092,-0.028949,-0.015841,0.018775,-0.043196,0.002778,-0.067259,0.036525,0.044161,0.020661
19970331,0.02805,0.039515,0.006687,-0.002881,-0.005764,-0.005018,0.029584,0.065087,0.001852,0.01547
19970430,-0.095032,-0.067058,-0.014319,0.017344,0.081665,0.00608,0.022506,0.010033,-0.023025,0.114761
19970531,0.095519,0.071004,0.076675,0.09792,0.048611,0.062111,-0.00842,0.061098,0.063431,0.090292
19970630,0.02347,0.038765,-0.003761,0.014314,0.060839,0.077411,0.076429,0.075015,0.057027,0.027546
19970731,0.049799,0.192351,0.058813,0.088965,0.051385,0.129383,0.21482,0.05135,0.131408,0.145657
19970831,0.002359,0.032995,0.049398,0.029866,0.038901,-0.023505,-0.028588,-0.070494,-0.024833,-0.005161
19970930,0.018999,0.073738,0.085913,0.016103,0.053885,0.085918,0.056421,0.04886,0.026078,-0.013542
19971031,0.064943,-0.029572,-0.001457,-0.025708,-0.013392,0.056832,0.0797,-0.090256,0.018968,-0.054447
19971130,-0.016258,-0.061503,-0.037742,-0.04043,-0.061221,-0.067717,-0.018393,-0.045424,-0.052694,-0.021642
19971231,0.002871,0.000907,0.020797,0.012198,-0.0222,-0.050306,-0.018483,0.011522,0.066585,-0.02325
19980131,0.01296,-0.015621,-0.024089,-0.040787,0.052385,0.030381,-0.055085,-0.100699,-0.067356,-0.013854
19980228,0.11639,0.000561,-0.006695,0.079515,0.043264,-0.005253,-0.02503,-0.055247,0.101936,0.021686
19980331,0.086526,0.153772,0.11274,0.137515,0.103838,0.195365,0.124475,0.13833,0.05342,0.052534
19980430,0.125666,0.118217,0.076616,0.077945,0.034938,0.017434,0.001607,-0.016953,0.009812,0.041003
19980531,-0.030779,0.017726,-0.066469,-0.091528,0.026157,-0.01527,-0.077615,-0.06128,-0.002379,-0.063132
19980630,-0.062857,-0.092186,-0.080989,-0.059722,-9.7e-05,0.064708,-0.020114,-0.060848,-0.025303,-0.034956
19980731,0.005687,0.019698,-0.03698,-0.075703,-0.001677,-0.042047,-0.002119,0.012056,-0.015643,0.021725
19980831,-0.191558,-0.266047,-0.248932,-0.259733,-0.27099,-0.203497,-0.170497,-0.285204,-0.257839,-0.119059
19980930,-0.163164,-0.05193,0.019175,0.011487,-0.007693,-0.101655,-0.041169,-0.143695,-0.143544,-0.096587
19981031,0.254198,0.004379,0.003696,0.137615,0.100793,0.056126,0.159015,0.258514,0.083275,0.039108
19981130,0.040517,-0.087113,-0.036362,-0.129893,-0.054561,0.099998,-0.108354,-0.11215,0.046117,-0.04908
19981231,-0.003524,-0.083854,-0.005107,-0.070284,0.027267,0.129593,-0.070776,0.092222,-0.08774,0.048126
19990131,0.204742,0.128987,0.079956,0.025467,0.21743,0.065109,0.100708,0.138119,0.099905,0.09636
19990228,0.015746,-0.04711,-0.080913,-0.065478,-0.037481,0.007458,-0.050414,-0.012098,0.012957,0.014318
19990331,-0.009995,0.020705,0.051133,0.166221,0.134998,0.140305,0.141635,0.056645,0.047725,0.107083
19990430,0.122316,0.107187,0.028903,0.096186,0.137115,0.019273,0.123827,0.150093,0.116804,0.174664
19990531,-0.040766,0.88359,0.037383,0.102621,0.031383,-0.119405,-0.057511,0.053151,0.021416,0.008697
