date,SMB,HML,PR1YR,UMD
20190228,-0.015173,0.037204,0.001242,-0.005720
20190331,0.028628,-0.020642,-0.019662,0.000469
20190430,0.014585,0.055486,-0.003762,-0.013179
20190531,0.004061,-0.040540,0.131494,0.082715
20190630,-0.005266,0.021281,0.004236,0.032146
20190731,0.034579,-0.024642,0.027508,0.051044
20190831,-0.031001,-0.019117,0.094377,0.098953
20190930,0.000417,0.001824,0.001830,-0.027375
20191031,0.013870,0.008173,0.038469,0.051149
20191130,0.053001,-0.061111,0.024263,-0.026946
20191231,0.044681,-0.039299,-0.023278,0.015742
20200131,0.029211,-0.011210,0.056041,0.022228
20200229,-0.008507,0.057360,0.093458,0.050643
20200331,0.003843,-0.131224,0.163921,0.125010
20200430,0.105139,-0.154616,0.019074,-0.077513
20200531,0.074934,-0.036507,-0.005610,0.064074
20200630,0.013015,0.018564,-0.065413,-0.061945
20200731,0.061324,-0.136781,0.029666,0.040601
20200831,0.074408,-0.113045,0.086163,0.060441
20200930,0.002466,-0.040748,0.073188,0.068661
20201031,0.095341,-0.039223,-0.009927,-0.032952
20201130,0.074213,0.060856,-0.156997,-0.178256
20201231,0.091527,-0.088954,0.067969,0.094138
20210131,-0.046278,-0.062240,0.018554,-0.002469
20210228,0.088275,-0.023183,-0.003286,-0.068309
20210331,0.019241,0.020378,-0.013217,-0.011858
20210430,0.021821,0.025536,-0.002550,0.012678
20210531,-0.288208,-0.281127,-0.000459,-0.007819
20210630,0.047197,0.073962,0.016508,-0.025618
20210731,-0.003737,-0.044853,-0.034814,-0.001809
20210831,0.028227,0.002831,0.048077,0.027286
20210930,0.013819,0.043585,0.019709,0.068830
20211031,-0.002741,0.002869,0.020759,0.006720
20211130,0.003578,0.029858,0.038388,0.028488
20211231,0.012111,0.074534,0.006886,0.053674
20220131,-0.026943,0.110313,0.014778,
20220228,-0.078521,0.162375,,
20220331,0.127966,0.019164,,
20220430,-0.048526,0.113953,,
20220531,0.219513,0.173975,,
20220630,0.020348,0.089701,,
