date,1 (small size),2,3,4,5,6,7,8,9,10 (large size)
19860331,-0.029999,0.05803,0.003973,-0.072624,-0.019968,0.017269,0.026747,-0.001335,-0.030343,-0.019568
19860430,-0.085416,-0.029645,-0.047845,-0.020338,0.031748,-0.006837,-0.034847,-0.030752,-0.057377,-0.043519
19860531,0.041411,-0.031854,-0.019774,0.015606,-0.068203,-0.037564,-0.023638,0.035814,-0.019855,0.074394
19860630,-0.03998,0.082886,0.116104,0.054223,0.044719,0.051498,0.06161,0.079968,0.110571,0.064549
19860731,-0.088917,0.05646,0.01772,-0.001701,0.006366,0.019735,0.017261,0.008631,0.040931,-0.080903
19860831,0.036165,0.071826,0.039083,0.004494,0.013892,0.030367,0.024854,0.033394,0.041894,0.109609
19860930,0.012976,-0.023818,-0.002703,0.023375,0.056241,0.044865,0.029903,-0.018662,0.132235,-0.010179
19861031,-0.00913,-0.000924,0.03252,0.014998,0.021086,0.02607,0.029011,0.039072,0.066415,0.013675
19861130,-0.004785,-0.004924,0.052953,0.017134,0.032966,0.014753,0.049288,0.046906,0.01947,0.028092
19861231,-0.048562,-0.031659,-0.066934,-0.030789,-0.045216,-0.045175,-0.053804,-0.052271,-0.075305,-0.052585
19870131,0.161035,0.025126,0.002809,-0.010806,0.037398,0.014228,-0.019896,0.035653,0.024792,0.028541
19870228,0.028147,0.011118,0.06589,-0.008411,0.024219,0.018041,-0.014937,-0.016732,0.028814,0.046813
19870331,0.071935,0.054377,0.07795,0.018575,0.074697,0.019024,0.018187,0.053336,0.043045,0.061585
19870430,0.109788,-0.00952,0.044835,0.011238,0.080611,0.023306,0.029243,0.013564,0.027697,0.072767
19870531,0.268654,0.064519,-0.001119,0.047547,0.000932,0.016701,0.004587,0.021834,-0.005424,0.033126
19870630,0.048747,0.070314,-0.016889,-0.00303,0.079243,0.013135,0.010376,0.038343,-0.009411,0.038864
19870731,0.278474,0.099889,0.036092,0.025777,0.051843,0.019225,0.039181,0.036545,0.083901,0.133216
19870831,0.149436,0.117422,0.138194,0.006131,0.052155,0.097319,0.082009,0.114027,0.117488,0.088378
19870930,0.160922,0.217803,0.062308,0.126707,0.127912,0.087866,0.099458,0.177782,0.091595,0.05577
19871031,-0.086084,-0.09904,-0.173224,-0.145989,-0.037721,-0.146722,-0.213203,-0.194478,-0.25032,-0.279156
19871130,-0.267374,-0.081245,-0.123544,-0.135018,-0.169802,-0.035402,-0.026925,-0.134966,-0.119998,-0.191186
19871231,-0.120356,-0.005076,0.011236,0.016582,0.006065,-0.014486,0.019868,-0.006944,-0.04708,0.001454
19880131,0.187013,0.174804,0.041412,0.091374,0.079234,0.046571,0.180026,0.051835,-0.037907,0.057286
19880229,-0.021881,0.029489,0.00499,0.028428,-0.007579,0.02002,0.071044,0.078056,0.066487,0.072719
19880331,0.067602,0.022633,0.058882,0.07154,0.020426,0.018816,0.044593,0.10554,0.022421,0.112623
19880430,0.136972,-0.044178,-0.027766,0.01929,-0.017944,-0.007773,-0.012827,-0.054416,-0.009295,0.026482
